"Bloomington : Indiana University Press, c2003"	"http://suncat.csun.edu/record=b1870651~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Sisters+of+the+Spirit+Three+Black+Women's+Autobiographies+of+the+Nineteenth+Century)+and+a:(Andrews)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Grand+Domestic+Revolution)+and+a:(Hayden)
		
"xi, 355 p. ; 23 cm"	"http://suncat.csun.edu/record=b1272663~S9"" id=""recordnum""></a></div>"	nomatch
		
"Austin : University of Texas Press, c1977"	"http://suncat.csun.edu/record=b1288730~S9"" id=""recordnum""></a></div>"	nomatch
		
"Austin : University  Texas Press, c1983"	"http://suncat.csun.edu/record=b1499744~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Birth+Control+in+America+The+Career+of+Margaret+Sanger)+and+a:(Kennedy)
nopub	nolink	"http://suncat.csun.edu/search~S9?/Xt:(The+Bonds+of+Womanhood+Woman's+Sphere+in+New+England,+1780-1835)+and+a:(Cott)"
		
"viii, 310 p. : ill. ; 25 cm"	"http://suncat.csun.edu/record=b1492561~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Converting+California+Indians+and+Franciscans+in+the+Missions)+and+a:(Sandos)
		
"New York : Grossman ; London : Jackdaw, [c1972"	"http://suncat.csun.edu/record=b1619528~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"New York : St. Martin's, 1984, c1983"	"http://suncat.csun.edu/record=b1451769~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : St. Martin's Press, c1997"	"http://suncat.csun.edu/record=b2004684~S9"" id=""recordnum""></a></div>"	nomatch
		
"xi, 138 p. : ill. ; 22 cm"	"http://suncat.csun.edu/record=b1873832~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"Westport, Conn. : Greenwood Press, 1978"	"http://suncat.csun.edu/record=b1342827~S9"" id=""recordnum""></a></div>"	nomatch
		
"Westport, Conn. : Greenwood Press, c1986"	"http://suncat.csun.edu/record=b1470492~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"Boston : Little, Brown, c1979"	"http://suncat.csun.edu/record=b1354090~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Strangers+from+a+Different+Shore+A+History+of+Asian+Americans)+and+a:(Takaki)
nopub	nolink	nomatch
		
1st ed	"http://suncat.csun.edu/record=b1489093~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Random House Audiobooks, p2000"	"http://suncat.csun.edu/record=b2310859~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"New York : A.A. Knopf, c1999"	"http://suncat.csun.edu/record=b1752363~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"Garden City, N.Y. : Anchor Books, 1975"	"http://suncat.csun.edu/record=b1211632~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"Garden City, N.Y., Zenith Books, 1974"	"http://suncat.csun.edu/record=b1188544~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"New York, Columbia University Press, 1965"	"http://suncat.csun.edu/record=b1217370~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Catharine+Beecher+A+Study+in+American+Domesticity)+and+a:(Sklar)
nopub	nolink	nomatch
		
"New York ; London : Norton, 1995, c1985"	"http://suncat.csun.edu/record=b1717787~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"New York : Norton, c1984"	"http://suncat.csun.edu/record=b1431877~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"New York, Random House [1971"	"http://suncat.csun.edu/record=b1063542~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Elusive+Eden+A+New+History+of+California)+and+a:(Rice)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Woman+Warrior+Memoirs+of+a+Girlhood+among+Ghosts)+and+a:(Kingston)
		
"New York: Random House, [1975"	"http://suncat.csun.edu/record=b1271672~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
		
"New York : Knopf : Distributed by Random House, 1990"	"http://suncat.csun.edu/record=b1603399~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Random House, [1974"	"http://suncat.csun.edu/record=b1157228~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York : Pantheon Books, 1982"	"http://suncat.csun.edu/record=b1405558~S9"" id=""recordnum""></a></div>"	nomatch
		
"New York, Random House [1974"	"http://suncat.csun.edu/record=b1188607~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(From+Parlor+to+Prison+Five+American+Suffragists+Talk+about+Their+Lives)+and+a:(Gluck)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(Black+Women+in+White+America+A+Documentary+History)+and+a:(Lerner)
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Woman+Warrior+Memoirs+of+a+Girlhood+among+Ghosts)+and+a:(Kingston)
nopub	nolink	http://suncat.csun.edu/search~S9?/Xt:(The+Weaker+Vessel)+and+a:(Fraser)
		
"New York : Pantheon Books, c1977"	"http://suncat.csun.edu/record=b1297639~S9"" id=""recordnum""></a></div>"	nomatch
		
"Boston : Houghton Mifflin, [1975"	"http://suncat.csun.edu/record=b1241717~S9"" id=""recordnum""></a></div>"	nomatch
		
2nd ed	"http://suncat.csun.edu/record=b1587419~S9"" id=""recordnum""></a></div>"	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
nopub	nolink	nomatch
		
"New York : Grosset &amp; Dunlap, c1976"	"http://suncat.csun.edu/record=b1290625~S9"" id=""recordnum""></a></div>"	nomatch
